movie_id,director_id,name
12138,71418,Demian Lichtenstein
273248,138,Quentin Tarantino
9955,60922,Josh Gordon
50359,49903,Tim Hill
1271,15217,Zack Snyder
693,6737,Jay Roach
14306,5065,David Frankel
497,4027,Frank Darabont
11199,68573,Walt Becker
9982,61411,Mark Dindal
210577,7467,David Fincher
2501,11694,Doug Liman
710,10702,Martin Campbell
2275,12786,Simon West
37165,2690,Peter Weir
9837,21879,Simon Wells
10708,52112,Steve Carr
136400,67813,Baltasar Kormákur
10992,64191,Lawrence Guterman
9654,37932,F. Gary Gray
2642,18323,Marc Lawrence
8916,18863,Eric Darnell
19899,12708,Peter Billingsley
2119,893,Tony Scott
9641,20739,Adam Shankman
294254,1179066,Wes Ball
38167,52779,Ryan Murphy
5994,11091,Brett Ratner
39514,57270,Robert Schwentke
9563,1152,Oliver Stone
547,4135,Robert Redford
1538,638,Michael Mann
9334,26713,Chuck Russell
11128,46297,Jay Russell
75780,9033,Christopher McQuarrie
8914,16938,Renny Harlin
13576,65310,Kenny Ortega
39538,1884,Steven Soderbergh
10628,48980,David McNally
14836,57646,Henry Selick
8645,11614,M. Night Shyamalan
9509,893,Tony Scott
10067,53177,Brian Robbins
9384,57130,Todd Phillips
9279,13581,Brian Levant
1487,10828,Guillermo del Toro
9422,2260,Steven Zaillian
77174,58897,Sam Fell
4824,30365,Michael Caton-Jones
9620,11401,John Woo
9302,18250,Jon Avnet
10199,64152,Robert Stevenhagen
10771,66654,Kevin Donovan
3512,32277,Geoff Murphy
137094,11181,Kenneth Branagh
274479,17883,David O. Russell
267860,132239,Babak Najafi
8078,2419,Jean-Pierre Jeunet
7485,20907,Antoine Fuqua
170687,52691,Anthony Stacchi
6435,2171,Griffin Dunne
137106,107446,Phil Lord
10040,58072,John Pasquin
6278,12523,Rob Bowman
82682,91268,Ruben Fleischer
17610,1524,Harold Ramis
22954,190,Clint Eastwood
16995,17350,Kevin Macdonald
16558,19242,Tony Gilroy
9849,18281,Donald Petrie
5820,47640,Clark Johnson
16866,117052,Jorge Blanco
201,2523,Stuart Baird
11775,1223,Joel Coen
87825,4746,Robert Lorenz
12201,10702,Martin Campbell
11015,37710,Peter Hyams
9932,1524,Harold Ramis
13389,18250,Jon Avnet
8838,23213,Harold Becker
17332,36588,Joe Wright
4958,4135,Robert Redford
786,11649,Cameron Crowe
9513,49903,Tim Hill
11679,7256,Lee Tamahori
38321,116357,Scott Stewart
14411,52870,Tim Johnson
8413,4014,Paul W.S. Anderson
10052,4499,Tom Shadyac
9676,1150,Brian De Palma
9664,57138,Tony Bill
2100,21526,Rod Lurie
10384,1723,Walter Hill
137321,5575,Akiva Goldsman
123553,21981,Harald Zwart
11260,53177,Brian Robbins
9009,8574,Walter Salles
11374,6159,Ron Howard
2309,1978,Iain Softley
8285,2293,Frank Miller
210860,508,David Koepp
2312,23799,Uwe Boll
9839,10702,Martin Campbell
381902,93991,Soi Cheang
13922,21053,John Dahl
293660,55252,Tim Miller
9713,18356,Stephen Herek
190859,190,Clint Eastwood
257445,65630,Rob Letterman
9007,54050,Mark Waters
889,13581,Brian Levant
1370,16589,Peter MacDonald
4942,1461,George Clooney
347969,57370,Frank Coraci
24438,18323,Marc Lawrence
116741,17825,Shawn Levy
35791,4014,Paul W.S. Anderson
72431,1216147,Anthony Hemingway
1813,18596,Taylor Hackford
87428,74619,Sean Anders
8840,18878,Rob Cohen
10589,11091,Brett Ratner
71676,20192,Brian Taylor
1722,18844,John Madden
10022,20739,Adam Shankman
11358,34453,Kevin Bray
13,24,Robert Zemeckis
6477,49903,Tim Hill
1597,6737,Jay Roach
10530,65530,Mike Gabriel
1924,7187,Richard Donner
9327,4499,Tom Shadyac
8488,17167,Andy Tennant
10603,54967,Sam Weisman
8273,54584,Jesse Dylan
109424,25598,Paul Greengrass
35056,17825,Shawn Levy
8839,11887,Brad Silberling
156022,20907,Antoine Fuqua
7303,39819,Wayne Wang
8963,893,Tony Scott
1402,20646,Gabriele Muccino
9315,57270,Robert Schwentke
8984,8246,Barry Levinson
795,11887,Brad Silberling
24,138,Quentin Tarantino
11353,7908,Frank Oz
393,138,Quentin Tarantino
9618,58728,Andrei Konchalovsky
9374,24,Robert Zemeckis
8584,46076,Tom Dey
2320,2523,Stuart Baird
58224,54050,Mark Waters
1729,18898,Rob Minkoff
175574,8029,Jimmy Hayward
8077,7467,David Fincher
8818,9168,Alan Parker
8195,13776,John Frankenheimer
10586,2042,Stephen Hopkins
116149,101666,Paul King
80035,62854,Akiva Schaffer
10632,15175,William Friedkin
12117,12962,Jon Turteltaub
1792,7395,Bobby Farrelly
13260,65702,Kent Alterman
72197,53304,Peter Lord
3580,190,Clint Eastwood
12123,12989,Andrew Davis
9566,893,Tony Scott
9833,5572,Joel Schumacher
4517,37630,Shekhar Kapur
8202,54025,Karyn Kusama
16072,66088,Ronald F. Maxwell
34314,101767,Robert Butler
19724,52845,Karey Kirkpatrick
145220,26205,James Bobin
14623,2388,Jonathan Frakes
42297,42745,Steve Antin
2841,2419,Jean-Pierre Jeunet
802,240,Stanley Kubrick
10375,33254,Jim Gillespie
36586,10828,Guillermo del Toro
11321,20646,Gabriele Muccino
70074,1723,Walter Hill
242,1776,Francis Ford Coppola
9621,11649,Cameron Crowe
1819,19271,Anthony Russo
8536,10586,Richard Lester
8046,769,Martin Brest
1717,2260,Steven Zaillian
479,6482,John Singleton
9444,12881,Gary Goldman
824,6201,Baz Luhrmann
11456,23213,Harold Becker
261023,65167,Scott Cooper
3683,190,Clint Eastwood
22803,37932,F. Gary Gray
285923,2294,Robert Rodriguez
39437,16294,Jonathan Demme
1950,323,Curtis Hanson
640,488,Steven Spielberg
97630,14392,Kathryn Bigelow
9767,59026,Peyton Reed
11631,71068,Phyllida Lloyd
32856,1201,Garry Marshall
6519,52049,Jay Chandrasekhar
8741,30715,Terrence Malick
49520,42994,David Dobkin
1850,3974,Miloš Forman
524,1032,Martin Scorsese
26389,35453,Pierre Morel
11817,70573,Paul Hunter
2123,7395,Bobby Farrelly
9907,4489,Steve Oedekerk
9969,61175,John Whitesell
18239,3288,Chris Weitz
808,5524,Andrew Adamson
38050,1921,George Nolfi
8367,8300,Kevin Reynolds
9390,11649,Cameron Crowe
72105,52139,Seth MacFarlane
2898,3388,James L. Brooks
10312,4499,Tom Shadyac
109443,55710,Adam McKay
2022,32593,Steven Brill
37686,15344,J.J. Abrams
462,1884,Steven Soderbergh
9919,18281,Donald Petrie
187017,107446,Phil Lord
628,17016,Neil Jordan
10201,59026,Peyton Reed
302699,57633,Rawson Marshall Thurber
9441,10965,Chris Columbus
274167,74619,Sean Anders
224141,17633,Rob Marshall
388,5281,Spike Lee
2112,4723,Brian Helgeland
10329,664,Frank Marshall
74465,11649,Cameron Crowe
13811,21085,Alex Proyas
6877,46076,Tom Dey
10320,26875,Hideo Nakata
50646,56411,Glenn Ficarra
8920,18357,Peter Hewitt
13673,18311,Joe Roth
60308,5345,Bennett Miller
6950,5231,Wolfgang Petersen
225574,59521,Jaume Collet-Serra
13836,58375,Andy Fickman
752,11266,James McTeigue
6038,42994,David Dobkin
9975,61290,Matthew O'Callaghan
